epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1605.77,2.71878,3.6549,4.3688,0.04211,0.48547,0.47359,0.02728,0.01544,0.00445,0.47836,0.03027,0.01743,0.00491,2.63861,3.62956,4.32702,0.04532,0,0.00266266,0.00266266,0.0693794
2,2749.06,2.58953,3.54763,4.20838,0.03936,0.47872,0.5918,0.04237,0.01823,0.00576,0.59321,0.04258,0.01633,0.00506,2.61206,3.45432,4.25745,0.04538,0,0.00427412,0.00427412,0.0376575
3,3920.7,2.45326,3.40368,3.98358,0.03618,0.47447,0.40968,0.06045,0.04523,0.01576,0.42884,0.06249,0.04168,0.01641,2.35422,3.17806,3.95481,0.0398,0,0.00482958,0.00482958,0.00487963
4,5085.89,2.34048,3.23165,3.69808,0.03385,0.47129,0.55646,0.12028,0.07451,0.02828,0.57078,0.12188,0.07972,0.02857,2.20899,3.03877,3.61532,0.03537,0,0.003248,0.003248,0.003248
5,6235.28,2.21668,3.09616,3.48988,0.03107,0.46813,0.50688,0.13884,0.09433,0.04219,0.50907,0.14458,0.09567,0.03958,2.07774,2.90993,3.41255,0.03261,0,0.001664,0.001664,0.001664
